Term [en-US],Term [ar],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
finality rate,معدل النهائية,最终性概率,最終率,snelheid van finaliteit,Taux de finalité,Finality Rate,Χρέωση βεβαιότητας,Matsayin Tabbatarwa,फाइनलिटी रेट,véglegességi arány,Nilai Finalitas,Finality Rate,ファイナリティの速度,완결율,نرخ قطعیت,Kadar Kemuktamadan,Speed wey dem dey use confirmin transaction wey no fit change,Ostateczność rozrachunku,Taxa de finalização,Taxă de finalitate,Коэффициент завершенности,velocidad de finalidad,Rate ng Pangwakas,อัตราสุดท้าย,Kesinlik Oranı,Коефіцієнт остаточності,Tỷ lệ cuối cùng,
financial technology,التكنولوجيا المالية,金融科技,金融科技,financiële technologie,technologie financière,Finanztechnologie,χρηματοοικονομική τεχνολογία,Fasaha ta Kuɗi,financial technology,pénzügyi technológia,teknologi keuangan,tecnologia finanziaria,フィンテック,금융 기술,فناوری مالی,teknologi kewangan,technology wey change how people manage money,Technologie finansowe,tecnologia financeira,tehnologie financiară,финансовые технологии,tecnología financiera,financial technology,เทคโนโลยีทางการเงิน,finansal teknoloji,фінансові технології,công nghệ tài chính,
finney,فيني,芬尼,Finney,finney,finney,Finney,FinTech (χρηματοοικονομική τεχνολογία),Ƙananan sassan ETH,finney,finney,finney,finney,finney,피니,فینی,finney,finney,Finney,finney,finney,finney,finney,finney,ฟินนี่,finney,фінні,finney,
FinTech,فنتك,FinTech（金融科技）,金融科技,fintech,FinTech,FinTech,FinTech (χρηματοοικονομική τεχνολογία),Fasaha ta Kuɗi,फिनटेक,FinTech,FinTech,FinTech,FinTech,핀테크,فین‌تک,FinTech,technology wey change how people manage money,FinTech,FinTech,FinTech,Финтех,fintech,FinTech,ฟินเทค,FinTech,FinTech,FinTech,
Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,
firewall,جدار الحماية,防火墙,防火牆,firewall,Pare-feu,Firewall,Τείχος προστασίας,Ƙwararren Tsaro,Firefox,tűzfal,Firewall,Firewall,ファイアウォール,방화벽,فایروال,Tembok Api,Barrier wey protect your computer from bad things,Firewall / zapora sieciowa,Firewall,Firewall,Брандмауэр,cortafuegos,Firewall,ไฟร์วอลล์,Güvenlik duvarı,Брандмауер,Tường lửa,
firmware,برنامج ثابت,固件,固件,firmware,Firmware,Firmware,Firmware (Υλικολογισμικό),Firmware,फर्मवेयर,firmware,Firmware,Firmware,ファームウェア,펌웨어,سفت‌افزار,Perisian tegar,Software for your device,Oprogramowanie sprzętowe,Firmware,Firmware,Прошивка,firmware,Firmware,เฟิร์มแวร์,Donanım yazılımı,Прошивка,Phần cứng,
Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,Flask,
fork,انقسام (فورك),分叉,分叉,fork,fork,Fork,fork,Rabuwa na Sarkar dijital,फोर्क (fork),elágazás,fork,fork,フォーク,포크,فورک,fork,"Split in di network, two versions now",Fork (podział łańcucha),bifurcação,fork,форк,bifurcación,fork,แยก,çatal,форк,phân nhánh,
fractional ownership,ملكية جزئية,部分所有权,部分所有權,fractioneel eigendom,Propriété fractionnée,Teilbesitz,Κλασματική ιδιοκτησία,Mallaka na Kaso,फ्रेक्शनल,töredéktulajdon,Kepemilikan Fraksional,Multiproprietà,分割所有権,부분 소유권,مالکیت درصدی,Pemilikan Pecahan,You get small part of one big thing,Własność częściowa,Propriedade fracionada,Proprietate fracționată,Долевое владение,titularidad fraccionaria,Fractional na Pagmamay-ari,การถือครองกรรมสิทธิ์แบบสัดส่วน,Fraksiyonel Sahiplik,Дробове володіння,Phân quyền sở hữu,
fraud proof,إثبات الاحتيال,欺诈证明,欺詐證明,fraudebestendig,Preuve de fraude,Betrugssicher,Θωράκιση κατά της απάτης.,Tsaro daga yaudara,फ्रॉड प्रूफ,csalás elleni bizonyíték,Bukti Penipuan,A prova di frode,不正証明,사기 증명,اثبات تقلب,Kalis penipuan,Dem get way to catch bad belle for some crypto,Ochrona przed nadużyciami (Fraud proof),Prova de fraude,Antifraudă,Доказательство мошенничества,a prueba de fraude,Katibayan ng panloloko,การตรวจสอบแบบไม่ไว้ใจ,Dolandırıcılık kanıtı,Доказ шахрайства,Bằng chứng gian lận,
FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,
full node,عُقدة كاملة,全节点,完整節點,full node,nœud complet,Full Node,πλήρης κόμβος,Na'ura Cikakke,फुल नोड,teljes csomópont,node penuh,nodo completo,フルノード,전체 노드,نود کامل,nod penuh,Computer wey e download and keep the whole blockchain,Pełny węzeł,nó completo,nod complet,полный узел,nodo completo,ganap na node,โหนดเต็ม,tam düğüm,повний вузол,nút đầy đủ,
Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,
gas,رسوم المعاملات,燃料,Gas,gas,gaz,Gas,gas,Man fetur don sarrafa ma'amala,गैस,gáz,gas,gas,ガス,가스,گس,gas,Wetin your transaction need to run on di network,Gaz,gás,gas,газ,gas,gas,แก๊ส,gaz,газ,gas,
gas fee,رسوم معاملات الشبكة,燃料费,礦工費,transactiekosten/gas fee,Frais de gaz,Gas-Gebühr,gas fee,Kudin man fetur don sarrafa ma'amala,गैस फीस,gázdíj,biaya gas,commissione del gas,ガス代,가스비,کارمزد گس,bayaran gas,moni wey you go pay make your crypto take waka,Opłata za gaz,taxa de gás,taxă de gas,плата за газ,tarifa de gas,bayad sa gas,ค่าแก๊ส,gaz ücreti,комісія за газ,phí gas,
gas limit,حد رسوم معاملات الشبكة,燃料限制,Gas 上限,maximale transactiekosten/gas limit,Limite de gaz,Gas-Limit,gas limit,Iyakar man fetur don sarrafa ma'amala,गैस लिमिट,gáz limit,batas gas,limite di gas,ガスリミット,가스 한도,حداکثر میزان گس,had gas,how much gas you go pay max,Limit gazu,limite de gás,limită de gas,лимит газа,límite de gas,limitasyon ng gas,ขีดจำกัดค่าแก๊ส,gaz limiti,ліміт газу,hạn mức phí gas,
gas price,سعر رسوم المعاملات,燃料价格,Gas 計價,gas price,Prix du gaz,Gas-Preis,gas price,Farashin man fetur don sarrafa ma'amala,गैस प्राइस,gáz ár,harga gas,prezzo gas,ガス価格,가스 가격,قیمت گس,harga gas,Moni wey you go make your transaction waka sharp-sharp.,Cena gazu,preço do gás,prețul gas-ului,цена газа,precio del gas,presyo ng gas,ราคาแก๊ส,gaz fiyatı,ціна на газ,giá gas,
Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,töltőállomás hálózat,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,เครือข่ายจัดหาแก๊ส,Gas Station Network,Gas Station Network,Gas Station Network,
GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,
General,عام,综合,一般,algemeen,Général,Allgemein,General (Γενικά),Gabaɗaya,सामान्य,Általános,Umum,Generali,一般,일반,عمومی,Umum,General settings,Ogólne,Geral,General,Общие,general,Pangkalahatan,ทั่วไป,Genel,Загальні,Chung,
genesis block,كتلة التكوين,创世区块,創世區塊,genesisblok,bloc initial,Genesis Block,genesis block,Tubalin farawa na sarkar dijital,जेनेसिस ब्लॉक,genesis blokk,block genesis,blocco di genesi,ジェネシスブロック,제네시스블록,بلاک اولیه,blok genesis,First block wey dem first create on top blockchain,Blok Genesis,bloco genesis,bloc de geneză,нулевой блок,bloque génesis,genesis block,บล็อกแรก,genesis blok,генезис-блок,khối genesis,
Gigawei,جيجاوي (Gigawei),Gigawei,Gigawei,gigawei,Gigawei,Gigawei,Gigawei,Gigawei,Gigawei,Gigawei,Gigawei,Gigawei,ギガウェイ,기가웨이,گیگاوی,Gigawei,Gigawei,Gigawei,Gigawei,Gigawei,Гигавей,gigawei,Gigawei,กิกะเวย์,Gigawei,Гігавай,Gigawei,
Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,
GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,
Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,
governance,الحوكمة,治理,治理,governance,Gouvernance,Governance,Διακυβέρνηση,Gudanarwa,Governance,kormányzás,Pengelola,Governance,ガバナンス,거버넌스,حاکمیت,Tadbir urus,How dem dey decide for blockchain matter,Zarządzanie,Governança,Governance,Управление,gobernanza,Pamamahala,การกำกับ,Yönetişim,Управління,Quản trị,
GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,Gas Station Network,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,
gwei,جوي (gwei),gwei,Gwei,gwei,gwei,Gwei,gwei,gwei,gwei,gwei,gwei,gwei,gwei,그웨이,جیوی,gwei,Gwei,Gwei,gwei,gwei,Гвей,gwei,gwei,เกวย์,gwei,гвей,gwei,
halving,التنصيف (الهالفينج),减半,減半,halveren,Réduction de moitié,Halbierung,μείωση κατά το ήμισυ,Rabawa ta rabi,आधा करना (halving),feleződés,halving,halving,半減期,반감기,هاوینگ (نصف شدن پاداش استخراج),halving,halve block reward every now and then,Halving,halving,înjumătățire,халвинг,reducción a la mitad,paghati,ฮาฟวิงก์,yarılanma,халвінг,chia đôi khối,
hard fork,انقسام كُلي (هارد فورك),硬分叉,硬分叉,hard fork,hard fork/embranchement dur,Hard Fork,hard fork,Canjin sarkar da ba za a iya dawo da shi ba,हार्ड फोर्क,hard fork,hard fork,hard fork,ハードフォーク,하드포크,هارد فورک,hard fork,Major change for di blockchain rule,Hard fork,bifurcação permanente,hard fork,хардфорк,bifurcación dura,hard fork,การแยกสมบูรณ์,sert çatal,хард-форк,phân nhánh cứng,
hardware wallet,محفظة الأجهزة,硬件钱包,硬體錢包,hardwarewallet,portefeuille matériel,Hardware-Wallet,hardware wallet,Walat na kayan aiki,hardware wallet,hardver pénztárca,dompet perangkat keras,wallet hardware,ハードウェアウォレット,하드웨어 지갑,کیف پول سخت‌افزاری,dompet perkakasan,Physical device wey store your crypto offline,Portfel sprzętowy,carteira de hardware,portofel hardware,аппаратный кошелек,monedero físico,wallet na hardware,ฮาร์ดแวร์วอลเล็ต,donanım cüzdanı,апаратний гаманець,ví phần cứng,
Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,
hash,الهاش,哈希,雜湊,hash,Hachage (nom),Hash,κατακερματισμός,Lamban tabbatarwa na ma'amala,हैश (नाउन),hash,hash (noun),hash (noun),ハッシュ,해시(명사),هش,hash,Unique code wey represent data,Hasz / skrót,hash,hash,хэш,hash,hash (pangngalan),แฮช,hash,хеш,băm (danh từ),
HD wallet,محفظة هرمية حتمية (HD),分层确定性（HD）钱包,分層確定式錢包,HD-wallet (hierarchical deterministic wallet),Portefeuille déterministe hiérarchique (HD),Hierarchisch-deterministisches (HD) Wallet,Ιεραρχικά ντετερμινιστικά πορτοφόλια (HD),Walat mai tsarin gado na ƙididdiga,हायरार्कीकल डिटरमिनिस्टिक (HD) वॉलेट,hierarchikus determinisztikus (HD) pénztárca,Dompet Deterministik Hierarkis (HD),Wallet gerarchico deterministico (HD),階層型決定性 (HD) ウォレット,계층 결정적(HD) 지갑,کیف پول قطعی سلسله مراتبی  (HD),Dompet Penentu Hierarki (HD).,Wallet wey generate addresses from a single seed phrase,Portfel HD (hierarchiczno-deterministyczny),Carteira hierárquica determinística (HD),Portofel ierarhic determinist (HD),Иерархически детерминированный (ИД) кошелек,monedero determinista jerárquico (HD),Hierarchical Deterministic (HD) na wallet,วอลเล็ตมีลำดับชั้น (HD),Hiyerarşik Belirleyici (HD) cüzdan,Ієрархічний детермінований (HD) гаманець,Ví phân cấp xác định (HD),
hex data,بيانات سداسية عشرية,十六进制数据,十六進位,hexadecimale data,Données hexadécimales,Hex-Daten,Δεκαεξαδικά δεδομένα,Lamba goma sha shida; 'Bayanan lamba goma sha shida',हेक्स डेटा,hexadecimális adatok,Data Hex,Dati esadecimali,16進データ,헥스 데이터,داده‌های هگز,Data hex,Number system wey use 16 symbols instead of 10,Dane w zapisie szesnastkowym/heksadecymalnym,Dados hexa,Date hexazecimale,Шестнадцатеричные данные,datos hexadecimales,Hex na data,ข้อมูลเลขฐานสิบหก,On altılı veri,Шістнадцяткові дані,Dữ liệu thập lục phân,
Hide,إخفاء ,隐藏,隱藏,verbergen,Masquer,Verbergen,Hide (Απόκρυψη),Ɓoye,छिपाएं,elrejtés,Sembunyikan,Nascondi,非表示,숨기기,پنهان کردن,Sembunyi,Hide,Ukryj,Ocultar,Ascunde,Скрыть,ocultar,Itago,ซ่อน,Gizle,Приховати,Ẩn,
hot storage,تخزين ساخن,热存储,熱儲存,warme opslag/hot storage,stockage connecté,Hot Storage,θερμή αποθήκευση,Walat zafi,हॉट स्टोरेज,meleg tárolás,hot storage,hot storage,ホットストレージ,핫 스토리지,ذخیره‌سازی گرم,simpanan panas,Software wallet wey dey connected to di internet,Gorący portfel (hot wallet),hot storage,hot storage,горячее хранилище,almacenamiento en caliente,mainit na imbakan,ที่เก็บเงินระยะสั้น,sıcak depolama,гаряче сховище,kho nóng,
hot wallet,محفظة ساخنة,热钱包,熱錢包,warme wallet/warme opslag/hot wallet,Portefeuille connecté,Hot Wallet,θερμό πορτοφόλι,Walat zafi,हॉट वॉलेट,melegtárca,hot wallet,hot wallet,ホットウォレット,핫월렛,کیف پول گرم,dompet panas,Software wallet wey dey connected to di internet,Gorący portfel (hot wallet),hot wallet,hot wallet,горячий кошелек,monedero en caliente,mainit na wallet,ฮอตวอลเล็ต,sıcak cüzdan,гарячий гаманець,ví nóng,
hybrid network,شبكة هجينة,混合网络,混合式區塊鏈,hybride netwerk,Réseau hybride,Hybrides Netzwerk,Υβριδικό Δίκτυο,Cibiyar Haɗi,हाइब्रिड नेटवर्क,hibrid hálózat,Jaringan hybrid,Rete ibrida,ハイブリッド型ネットワーク,하이브리드 네트워크,شبکه هیبریدی,Rangkaian Hibrid,Network wey join different-different tech together,Sieć hybrydowa,Rede híbrida,Rețea hibridă,Гибридная сеть,red híbrida,Hybrid Network,เครือข่ายไฮบริด,Hibrit Ağ,Гібридна мережа,Mạng lai,
