Term [en-US],Term [ar-001],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr-FR],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm-NG],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl-PH],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,töltőállomás hálózat,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network,เครือข่ายจัดหาแก๊ส,Gas Station Network,Gas Station Network,Gas Station Network,Gas Station Network
GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP
genesis block,كتلة التكوين,创世区块,創世區塊,genesisblok,bloc initial,Genesis Block,μπλοκ genesis,tubalin farawa na sarkar dijital,जेनेसिस ब्लॉक,genesis blokk,block genesis,blocco di genesi,ジェネシスブロック,제네시스블록,بلاک اولیه,blok genesis,first block wey dem first create on top blockchain,Blok Genesis,bloco genesis,bloc de geneză,нулевой блок,bloque génesis,genesis block,บล็อกแรก,genesis blok,генезис-блок,khối genesis,genesis block
Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin,Gitcoin
GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub
Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli,Goerli
governance,الحوكمة,治理,治理,governance,gouvernance,Governance,διακυβέρνηση,gudanarwa,गवर्नेस,irányítás,pengelolaan,governance,ガバナンス,거버넌스,حاکمیت,tadbir urus,how dem dey decide for blockchain matter,zarządzanie,governança,governance,управление,gobernanza,pamamahala,การกำกับ,yönetişim,управління,quản trị,governance
GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN,GSN
gwei,جوي (gwei),gwei,Gwei,gwei,gwei,Gwei,gwei,gwei,gwei,gwei,gwei,gwei,gwei,그웨이,جیوی,gwei,gwei,Gwei,gwei,gwei,Гвей,gwei,gwei,เกวย์,gwei,гвей,gwei,gwei
halving,التنصيف (الهالفينج),减半,減半,halveren,réduction de moitié,Halbierung,μείωση κατά το ήμισυ,rabawa ta rabi,आधा करना (halving),feleződés,halving,halving,半減期,반감기,هاوینگ (نصف شدن پاداش استخراج),halving,halve block reward every now and then,Halving,halving,înjumătățire,халвинг,reducción a la mitad,paghati,ฮาฟวิงก์,yarılanma,халвінг,chia đôi khối,halving
hard fork,انقسام كُلي (هارد فورك),硬分叉,硬分叉,hard fork,hard fork/embranchement dur,Hard Fork,πολύπλοκη αναβάθμιση λογισμικού,canjin sarkar da ba za a iya dawo da shi ba,हार्ड फोर्क,hard fork,hard fork,hard fork,ハードフォーク,하드포크,هارد فورک,hard fork,major change for di blockchain rule,Hard fork,bifurcação permanente,hard fork,хардфорк,bifurcación dura,hard fork,การแยกสมบูรณ์,sert çatal,хард-форк,phân nhánh cứng,hard fork
hardware wallet,محفظة الأجهزة,硬件钱包,硬體錢包,hardwarewallet,portefeuille matériel,Hardware-Wallet,πορτοφόλι υλικού,walat na kayan aiki,हार्डवेयर वॉलेट,hardver pénztárca,dompet perangkat keras,wallet hardware,ハードウェアウォレット,하드웨어 지갑,کیف پول سخت‌افزاری,dompet perkakasan,physical device wey store your crypto offline,Portfel sprzętowy,carteira de hardware,portofel hardware,аппаратный кошелек,monedero físico,wallet na hardware,ฮาร์ดแวร์วอลเล็ต,donanım cüzdanı,апаратний гаманець,ví phần cứng,hardware wallet
Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony,Harmony
hash,الهاش,哈希,雜湊,hash,hachage,Hash,κατακερματισμός,lamban tabbatarwa na ma'amala,हैश,hash,hash,hash,ハッシュ,해시,هش,hash,unique code wey represent data,hasz / skrót,hash,hash,хэш,hash,hash,แฮช,hash,хеш,băm,hash
HD wallet,محفظة حتمية هرمية (HD),分层确定性（HD）钱包,分層確定式錢包,HD-wallet (hierarchical deterministic wallet),portefeuille déterministe hiérarchique (HD),Hierarchisch-deterministisches (HD) Wallet,Ιεραρχικά ντετερμινιστικά πορτοφόλια (HD),walat mai tsarin gado na ƙididdiga,HD वॉलेट,HD pénztárca,HD wallet,wallet HD,HDウォレット,HD 지갑,کیف پول HD,dompet HD,wallet wey generate addresses from a single seed phrase,portfel HD (hierarchiczno-deterministyczny),carteira HD,portofel HD,ИД-кошелек,monedero determinista jerárquico (HD),HD wallet,วอลเล็ต HD,Hiyerarşik Belirleyici (HD) cüzdan,Ієрархічний детермінований (HD) гаманець,Ví HD,HD wallet
hex data,بيانات سداسية عشرية,十六进制数据,十六進位,hexadecimale data,Données hexadécimales,Hex-Daten,Δεκαεξαδικά δεδομένα,lamba goma sha shida; 'Bayanan lamba goma sha shida',हेक्स डेटा,hexadecimális adatok,Data Hex,Dati esadecimali,16進データ,헥스 데이터,داده‌های هگز,Data hex,number system wey use 16 symbols instead of 10,Dane w zapisie szesnastkowym/heksadecymalnym,Dados hexa,Date hexazecimale,Шестнадцатеричные данные,datos hexadecimales,Hex na data,ข้อมูลเลขฐานสิบหก,on altılı veri,шістнадцяткові дані,dữ liệu thập lục phân,hex data
hot storage,تخزين ساخن,热存储,熱儲存,warme opslag/hot storage,stockage connecté,Hot Storage,θερμή αποθήκευση,Ajiye zafi,हॉट स्टोरेज,meleg tárolás,hot storage,hot storage,ホットストレージ,핫 스토리지,ذخیره‌سازی گرم,simpanan panas,Software storage wey dey connected to di internet,Gorący portfel (hot storage),hot storage,hot storage,горячее хранилище,almacenamiento en caliente,mainit na imbakan,ที่เก็บเงินระยะสั้น,sıcak depolama,гаряче сховище,kho nóng,hot storage
hot wallet,محفظة ساخنة,热钱包,熱錢包,warme wallet/warme opslag/hot wallet,Portefeuille connecté,Hot Wallet,θερμό πορτοφόλι,Walat zafi,हॉट वॉलेट,melegtárca,hot wallet,hot wallet,ホットウォレット,핫월렛,کیف پول گرم,dompet panas,Software wallet wey dey connected to di internet,Gorący portfel (hot wallet),hot wallet,hot wallet,горячий кошелек,monedero en caliente,mainit na wallet,ฮอตวอลเล็ต,sıcak cüzdan,гарячий гаманець,ví nóng,hot wallet
hybrid network,شبكة هجينة,混合网络,混合式區塊鏈,hybride netwerk,réseau hybride,Hybrides Netzwerk,υβριδικό δίκτυο,cibiyar haɗi,हाइब्रिड नेटवर्क,hibrid hálózat,Jaringan hybrid,rete ibrida,ハイブリッド型ネットワーク,하이브리드 네트워크,شبکه هیبریدی,rangkaian hibrid,network wey join different-different tech together,sieć hybrydowa,rede híbrida,rețea hibridă,гибридная сеть,red híbrida,hybrid network,เครือข่ายไฮบริด,hibrit ağ,гібридна мережа,mạng lai,hybrid network
Hyperledger,مشروع هايبرليدجر,超级账本,超級帳本,Hyperledger,Hyperledger,Hyperledger,Hyperledger,Hyperledger,हाइपरलेजर (Hyperledger),Hyperledger,Hyperledger,Hyperledger,Hyperledger,하이퍼레저,هایپرلجر,Hyperledger,Free software wey you fit use build blockchain,Hyperledger,Hyperledger,Hyperledger,Гиперледжер,Hyperledger,Hyperledger,Hyperledger,Hyperledger,Hyperledger,Hyperledger,Hyperledger
IBC,بروتوكول الاتصال بين شبكات البلوكتشين (IBC),跨链通信（IBC）,區塊鏈間通訊 (IBC),IBC-protocol (inter-blockchain communication),IBC,IBC,Πρωτοκόλλου επικοινωνίας μεταξύ των Blockchain (IBC),Tsari na Hulɗa Tsakanin Sarkar Dijital,IBC,IBC,IBC,IBC,IBC,IBC,IBC,IBC,System wey blockchains fit use to tok to each other,protokół IBC,IBC,IBC,IBC,IBC,IBC,IBC,IBC,IBC,IBC,IBC
ICO,عرض العملة الأولي (ICO),首次代币发行（ICO）,ICO,ICO,ICO,ICO,Αρχική προσφορά νομισμάτων (ICO),Farkon Farawa na Tsabar Kuɗi,ICO,ICO,ICO,ICO,イニシャル・コイン・オファリング (ICO),ICO,عرضه اولیه کوین,ICO,ICO,ICO,ICO,Ofertă inițială de monedă,ICO,ICO,ICO,ICO,ICO,ICO,ICO,ICO
ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID
immutability,عدم القابلية للتغير (الثبات),不可篡改性,不可篡改,onveranderlijkheid,immutabilité,Unveränderlichkeit,αμεταβλητότητα,ba za a iya sauyawa ba,इमम्यूटेबिलिटी,megváltoztathatatlanság,imutabilitas,immutabilità,耐改ざん性,불변성,تغییرناپذیری,tidak berubah,e no fit change again,Niemodyfikowalność,imutabilidade,imutabilitate,неизменность,inmutabilidad,kawalan ng pagbabago,เปลี่ยนแปลงไม่ได้,ölçeklendirilebilme çözümü,незмінність,tính bất biến,immutability
Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura,Infura
insider trading,تداول المُطّلعين,内幕交易,內線交易,handel met voorkennis,délit d’initié,Insiderhandel,Εσωτερική πληροφόρηση,ciniki na cikin gida,इनसाइडर ट्रेडिंग,bennfentes kereskedelem,trading orang dalam,insider trading,インサイダー取引,내부자 거래,معاملات نهانی,perdagangan orang dalam,use inside info trade before e reach public,insider trading,negociação privilegiada,tranzacții cu informații privilegiate,инсайдерская торговля,abuso de información privilegiada,insider trading,การใช้ข้อมูลภายใน,İçeriden Öğrenenlerin Ticareti,інсайдерська торгівля,giao dịch nội gián,insider trading
internal transaction,معاملة داخلية,内部交易,內部交易,interne transactie,transaction interne,Interne Transaktion,εσωτερική συναλλαγή,ma'amala ta ciki,इंटरनल ट्रांसेक्शन,belső tranzakció,transaksi internal,transazione interna,内部トランザクション,내부 거래,تراکنش داخلی,transaksi dalaman,movement of crypto inside di network,Transakcja wewnętrzna,transação interna,tranzacție internă,внутренняя транзакция,transacción interna,panloob na transaksyon,ธุรกรรมภายใน,dahili işlem,внутрішня транзакція,giao dịch nội bộ,internal transaction
interoperability,قابلية التشغيل البيني,互操作性,互操作性,interoperabiliteit,interopérabilité,Interoperabilität,Διαλειτουργικότητα,haɗin aiki tsakanin sarkar dijital,इंटरऑपरेबिल्टी,interoperabilitás,interpolaritas,interoperabilità,相互運用性,상호운용성,تعامل‌‌پذیری,saling boleh kendali,different crypto networks fit wok together,interoperacyjność,interoperabilidade,interoperabilitate,совместимость,interoperabilidad,interoperability,ความสอดประสาน,birlikte çalışabilirlik,інтероперабельність,khả năng tương tác,interoperability
InterPlanetary File System (IPFS),نظام الملفات إنتربلانتري (IPFS),星际文件系统（IPFS）,星際檔案系統 (IPFS),IPFS (InterPlanetary File System),InterPlanetary File System (IPFS),InterPlanetary-Dateisystem (IPFS),Διαπλανητικό Σύστημα Αρχείων (IPFS),Tsarin Fayil na InterPlanetary (IPFS),इंटरप्लेनेटरी फाइल सिस्टम (IPFS),Interplanetary File System (IPFS),Sistem File Interplanetary (IPFS),InterPlanetary File System (IPFS),インタープラネタリーファイルシステム (IPFS),행성 간 파일 시스템(IPFS),InterPlanetary File System (IPFS),Sistem Fail Antara Planet (IPFS),InterPlanetary File System (IPFS),InterPlanetary File System (IPFS),Sistema de Arquivos Interplanetário (IPFS),InterPlanetary File System (IPFS),InterPlanetary File System (IPFS),Sistema de archivos interplanetario (IPFS),InterPlanetary File System (IPFS),ระบบไฟล์ InterPlanetary (IPFS),Gezegenler Arası Dosya Sistemi (IPFS),Міжпланетна файлова система (IPFS),Hệ thống tệp phân tán ngang hàng (IPFS),InterPlanetary File System (IPFS)
IP address,عنوان IP,IP 地址,IP 位址,IP-adres,Adresse IP,IP-Adresse,Διεύθυνση IP,Adireshin IP,आईपी ​​एड्रेस,IP-cím,Alamat IP,Indirizzo IP,IPアドレス,IP 주소,آدرس آی‌پی,alamat IP,Internet address for your device:,Adres IP,Endereço IP,adresă IP,IP-адрес,Dirección IP,IP address,เลขที่อยู่ IP,IP adresi,IP-адреса,Địa chỉ IP,IP address
IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS,IPFS
IPO,IPO,IPO,IPO,IPO,IPO,IPO,IPO,Bayar da Jama'a ta Farko,IPO,IPO,IPO,IPO,IPO,IPO,IPO,IPO,When company first dey sell shares to public,IPO,IPO,IPO,IPO,IPO,IPO,IPO,IPO,IPO,IPO,IPO
JSON file,ملف JSON,JSON 文件,JSON 檔案,JSON-bestand,Fichier JSON,JSON-Datei,Αρχείο JSON,Fayil ɗin JSON,JSON फ़ाइल,JSON-fájl,File JSON,File JSON,JSONファイル,JSON 파일,فایل جیسون,fail JSON,Special file format wey computers fit use share data JSON,Plik JSON,Arquivo JSON,Fișier JSON,Файл JSON,archivo JSON,file na JSON,ไฟล์ JSON,JSON dosyası,Файл JSON,Tệp JSON,JSON file
JSON-RPC,بروتوكول JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,جیسون-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC,JSON-RPC
keystore file,ملف تخزين المفاتيح,密钥库文件,keystore 檔案,keystore-bestand,fichier keystore,Keystore-Datei,αρχείο αποθήκευσης κλειδιών,Fayil ɗin ajiyar maɓalli ta sirri na JSON,कीस्टोर फ़ाइल,kulcstároló fájl,file keystore,file keystore,キーストアファイル,키스토어 파일,فایل کلید خصوصی,fail keystore,File wey dem dey keep ya crypto keys safe,Plik keystore,arquivo keystore,fișier keystore,файл хранилища ключей,archivo keystore,file ng keystore,ไฟล์คีย์สโตร์,keystore dosyası,файл сховища ключів,tệp lưu khóa,keystore file
Know Your Customer,التحقق من هوية العميل,实名认证,認識你的客戶,Know Your Customer,Vérification de l'identité des clients,Know Your Customer,Γνωρίστε τον πελάτη σας,Sanin Abokin Cinikinku,अपने ग्राहक को जानें,Ismerd a vásárlód,Prinsip Mengenal Nasabah,Know Your Customer,本人確認,고객확인제도,احراز هویت مشتری,Kenali Pelanggan Anda,Sabi who your customer be,Poznaj swojego klienta,Conheça seu cliente,Know Your Customer,«Знай своего клиента»,conozca a su cliente,Know Your Customer,การรู้จักลูกค้า,Müşterini Tanı,Знай свого клієнта,Xác minh danh tính khách hàng,Know Your Customer
